tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
11 BLUE - 6 GREEN,11 BLUE - 6 GREEN,-10.35,-3.88,-7.49
11 BLUE - 5 GREEN,11 BLUE - 5 GREEN,-9.85,-3.4,-10.01
11 BLUE - 4 GREEN,11 BLUE - 4 GREEN,-9.32,-3.12,-9.32
11 BLUE - 3 GREEN,11 BLUE - 3 GREEN,-8.64,-3.84,-11.0
11 BLUE - 2 GREEN,11 BLUE - 2 GREEN,-8.09,-3.76,-12.71
11 BLUE - 1 GREEN,11 BLUE - 1 GREEN,-7.55,-3.28,-14.09
11 BLUE - Jester,11 BLUE - Jester,-4.96,-4.32,-18.58
10 BLUE - 9 BLUE,10 BLUE - 9 BLUE,-7.0,-5.92,4.06
10 BLUE - 8 BLUE,10 BLUE - 8 BLUE,-7.17,-6.32,0.87
10 BLUE - 7 BLUE,10 BLUE - 7 BLUE,-6.77,-7.52,-0.64
10 BLUE - 6 BLUE,10 BLUE - 6 BLUE,-5.81,-7.84,-4.33
10 BLUE - 5 BLUE,10 BLUE - 5 BLUE,-6.26,-8.32,-6.4
10 BLUE - 4 BLUE,10 BLUE - 4 BLUE,-6.47,-8.4,-7.13
10 BLUE - 3 BLUE,10 BLUE - 3 BLUE,-6.62,-7.8,-9.09
10 BLUE - 2 BLUE,10 BLUE - 2 BLUE,-6.73,-8.24,-10.6
10 BLUE - 1 BLUE,10 BLUE - 1 BLUE,-6.78,-8.48,-10.81
10 BLUE - 10 GREEN,10 BLUE - 10 GREEN,-11.2,-3.52,-1.56
10 BLUE - 9 GREEN,10 BLUE - 9 GREEN,-10.73,-3.44,-3.66
10 BLUE - 8 GREEN,10 BLUE - 8 GREEN,-9.43,-3.36,-5.89
10 BLUE - 7 GREEN,10 BLUE - 7 GREEN,-9.52,-3.68,-8.36
10 BLUE - 6 GREEN,10 BLUE - 6 GREEN,-8.2,-4.6,-9.41
10 BLUE - 5 GREEN,10 BLUE - 5 GREEN,-9.25,-4.16,-10.64
10 BLUE - 4 GREEN,10 BLUE - 4 GREEN,-8.17,-4.52,-12.37
10 BLUE - 3 GREEN,10 BLUE - 3 GREEN,-7.64,-5.6,-12.64
10 BLUE - 2 GREEN,10 BLUE - 2 GREEN,-7.63,-4.92,-14.09
10 BLUE - 1 GREEN,10 BLUE - 1 GREEN,-6.87,-5.04,-14.16
10 BLUE - Jester,10 BLUE - Jester,-3.25,-4.64,-18.66
9 BLUE - 8 BLUE,9 BLUE - 8 BLUE,-3.83,-5.8,0.37
9 BLUE - 7 BLUE,9 BLUE - 7 BLUE,-4.65,-6.48,-0.61
9 BLUE - 6 BLUE,9 BLUE - 6 BLUE,-5.01,-6.96,-2.97
9 BLUE - 5 BLUE,9 BLUE - 5 BLUE,-4.42,-7.6,-5.1
9 BLUE - 4 BLUE,9 BLUE - 4 BLUE,-4.81,-7.8,-7.88
9 BLUE - 3 BLUE,9 BLUE - 3 BLUE,-3.44,-8.44,-9.71
9 BLUE - 2 BLUE,9 BLUE - 2 BLUE,-5.17,-8.08,-9.31
9 BLUE - 1 BLUE,9 BLUE - 1 BLUE,-3.74,-8.72,-12.27
9 BLUE - 9 GREEN,9 BLUE - 9 GREEN,-9.39,-4.48,-6.55
9 BLUE - 8 GREEN,9 BLUE - 8 GREEN,-8.78,-3.76,-7.88
9 BLUE - 7 GREEN,9 BLUE - 7 GREEN,-8.7,-4.56,-8.69
9 BLUE - 6 GREEN,9 BLUE - 6 GREEN,-7.91,-4.68,-11.14
9 BLUE - 5 GREEN,9 BLUE - 5 GREEN,-7.07,-5.16,-12.61
9 BLUE - 4 GREEN,9 BLUE - 4 GREEN,-6.92,-6.0,-12.76
9 BLUE - 3 GREEN,9 BLUE - 3 GREEN,-6.47,-5.72,-13.99
9 BLUE - 2 GREEN,9 BLUE - 2 GREEN,-6.39,-5.72,-15.01
9 BLUE - 1 GREEN,9 BLUE - 1 GREEN,-5.15,-6.08,-15.97
9 BLUE - Jester,9 BLUE - Jester,-1.0,-6.64,-19.16
8 BLUE - 7 BLUE,8 BLUE - 7 BLUE,-1.59,-7.04,-2.4
8 BLUE - 6 BLUE,8 BLUE - 6 BLUE,-2.52,-7.12,-3.7
8 BLUE - 5 BLUE,8 BLUE - 5 BLUE,-2.12,-7.2,-6.05
8 BLUE - 4 BLUE,8 BLUE - 4 BLUE,-2.03,-8.0,-7.86
8 BLUE - 3 BLUE,8 BLUE - 3 BLUE,-1.32,-8.6,-9.42
8 BLUE - 2 BLUE,8 BLUE - 2 BLUE,-2.69,-8.88,-10.4
8 BLUE - 1 BLUE,8 BLUE - 1 BLUE,-1.62,-8.68,-12.28
8 BLUE - 8 GREEN,8 BLUE - 8 GREEN,-8.04,-6.12,-9.77
8 BLUE - 7 GREEN,8 BLUE - 7 GREEN,-6.95,-5.36,-10.5
8 BLUE - 6 GREEN,8 BLUE - 6 GREEN,-6.0,-5.4,-10.91
8 BLUE - 5 GREEN,8 BLUE - 5 GREEN,-5.91,-6.08,-13.12
8 BLUE - 4 GREEN,8 BLUE - 4 GREEN,-6.45,-5.72,-14.22
8 BLUE - 3 GREEN,8 BLUE - 3 GREEN,-4.09,-6.16,-15.7
8 BLUE - 2 GREEN,8 BLUE - 2 GREEN,-3.86,-6.2,-15.4
8 BLUE - 1 GREEN,8 BLUE - 1 GREEN,-4.01,-5.68,-15.74
8 BLUE - Jester,8 BLUE - Jester,0.95,-7.48,-19.37
7 BLUE - 6 BLUE,7 BLUE - 6 BLUE,-0.31,-6.84,-3.37
7 BLUE - 5 BLUE,7 BLUE - 5 BLUE,-0.75,-7.56,-5.12
7 BLUE - 4 BLUE,7 BLUE - 4 BLUE,-0.29,-8.28,-7.83
7 BLUE - 3 BLUE,7 BLUE - 3 BLUE,0.59,-8.48,-10.74
7 BLUE - 2 BLUE,7 BLUE - 2 BLUE,0.27,-8.96,-10.02
7 BLUE - 1 BLUE,7 BLUE - 1 BLUE,-0.71,-9.2,-11.78
7 BLUE - 7 GREEN,7 BLUE - 7 GREEN,-6.63,-5.6,-11.28
7 BLUE - 6 GREEN,7 BLUE - 6 GREEN,-6.13,-5.4,-13.18
7 BLUE - 5 GREEN,7 BLUE - 5 GREEN,-5.11,-6.08,-12.96
7 BLUE - 4 GREEN,7 BLUE - 4 GREEN,-3.92,-5.84,-14.52
7 BLUE - 3 GREEN,7 BLUE - 3 GREEN,-3.62,-6.36,-15.98
7 BLUE - 2 GREEN,7 BLUE - 2 GREEN,-2.75,-7.28,-16.51
7 BLUE - 1 GREEN,7 BLUE - 1 GREEN,-3.98,-6.76,-16.39
7 BLUE - Jester,7 BLUE - Jester,1.94,-7.36,-19.34
6 BLUE - 5 BLUE,6 BLUE - 5 BLUE,1.47,-6.84,-4.87
6 BLUE - 4 BLUE,6 BLUE - 4 BLUE,1.95,-7.96,-6.6
6 BLUE - 3 BLUE,6 BLUE - 3 BLUE,2.23,-8.68,-9.84
6 BLUE - 2 BLUE,6 BLUE - 2 BLUE,1.21,-8.92,-10.25
6 BLUE - 1 BLUE,6 BLUE - 1 BLUE,2.11,-9.36,-11.65
6 BLUE - 6 GREEN,6 BLUE - 6 GREEN,-4.44,-6.44,-14.01
6 BLUE - 5 GREEN,6 BLUE - 5 GREEN,-3.71,-7.2,-14.63
6 BLUE - 4 GREEN,6 BLUE - 4 GREEN,-2.96,-7.32,-16.26
6 BLUE - 3 GREEN,6 BLUE - 3 GREEN,-2.53,-7.24,-17.24
6 BLUE - 2 GREEN,6 BLUE - 2 GREEN,-1.98,-7.64,-16.99
6 BLUE - 1 GREEN,6 BLUE - 1 GREEN,-0.53,-7.6,-17.45
6 BLUE - Jester,6 BLUE - Jester,4.46,-7.8,-19.45
5 BLUE - 4 BLUE,5 BLUE - 4 BLUE,3.8,-7.88,-8.31
5 BLUE - 3 BLUE,5 BLUE - 3 BLUE,3.91,-8.36,-9.97
5 BLUE - 2 BLUE,5 BLUE - 2 BLUE,3.06,-9.0,-9.87
5 BLUE - 1 BLUE,5 BLUE - 1 BLUE,2.6,-9.68,-11.65
5 BLUE - 5 GREEN,5 BLUE - 5 GREEN,-2.73,-7.68,-16.33
5 BLUE - 4 GREEN,5 BLUE - 4 GREEN,-2.74,-7.52,-16.36
5 BLUE - 3 GREEN,5 BLUE - 3 GREEN,-1.55,-8.0,-17.17
5 BLUE - 2 GREEN,5 BLUE - 2 GREEN,-0.61,-8.36,-17.31
5 BLUE - 1 GREEN,5 BLUE - 1 GREEN,1.08,-8.6,-18.17
5 BLUE - Jester,5 BLUE - Jester,6.11,-9.08,-19.77
4 BLUE - 3 BLUE,4 BLUE - 3 BLUE,5.81,-8.44,-8.99
4 BLUE - 2 BLUE,4 BLUE - 2 BLUE,6.66,-9.32,-11.04
4 BLUE - 1 BLUE,4 BLUE - 1 BLUE,5.16,-9.56,-12.02
4 BLUE - 4 GREEN,4 BLUE - 4 GREEN,-0.42,-8.4,-17.38
4 BLUE - 3 GREEN,4 BLUE - 3 GREEN,-0.66,-8.24,-17.41
4 BLUE - 2 GREEN,4 BLUE - 2 GREEN,1.07,-8.6,-17.65
4 BLUE - 1 GREEN,4 BLUE - 1 GREEN,2.31,-8.88,-18.32
4 BLUE - Jester,4 BLUE - Jester,7.88,-9.04,-19.76
3 BLUE - 2 BLUE,3 BLUE - 2 BLUE,7.14,-8.84,-10.23
3 BLUE - 1 BLUE,3 BLUE - 1 BLUE,6.69,-9.4,-11.63
3 BLUE - 3 GREEN,3 BLUE - 3 GREEN,2.05,-8.8,-18.14
3 BLUE - 2 GREEN,3 BLUE - 2 GREEN,2.53,-9.04,-18.33
3 BLUE - 1 GREEN,3 BLUE - 1 GREEN,3.01,-9.16,-18.44
3 BLUE - Jester,3 BLUE - Jester,8.87,-9.52,-19.88
2 BLUE - 1 BLUE,2 BLUE - 1 BLUE,9.38,-9.48,-12.13
2 BLUE - 2 GREEN,2 BLUE - 2 GREEN,3.87,-9.48,-19.3
2 BLUE - 1 GREEN,2 BLUE - 1 GREEN,4.14,-9.8,-19.15
2 BLUE - Jester,2 BLUE - Jester,9.95,-9.76,-19.94
1 BLUE - 1 GREEN,1 BLUE - 1 GREEN,5.5,-10.0,-19.73
1 BLUE - Jester,1 BLUE - Jester,11.6,-9.96,-19.99
Jester - Jester,Jester - Jester,20.0,-10.0,-20.0
