,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
324,2 BLUE - 13 BLUE,13 BLUE - 2 BLUE,-18.0,-10.0,28.0
325,2 BLUE - 13 BLUE,2 BLUE - 13 BLUE,6.0,-10.0,-8.0
326,2 BLUE - 2 GREEN,2 BLUE - 2 GREEN,-2.0,-10.0,-6.0
327,2 BLUE - 2 GREEN,2 GREEN - 2 BLUE,6.0,-10.0,-8.0
328,2 BLUE - 9 BLUE,2 BLUE - 9 BLUE,8.0,-10.0,-20.0
329,2 BLUE - 9 BLUE,9 BLUE - 2 BLUE,-6.0,-10.0,-8.0
330,2 RED - 1 BLUE,1 BLUE - 2 RED,-4.0,22.0,-12.0
331,2 RED - 1 BLUE,2 RED - 1 BLUE,-8.0,6.0,-12.0
332,2 RED - 1 RED,1 RED - 2 RED,-18.0,-2.0,30.0
333,2 RED - 1 RED,2 RED - 1 RED,-18.0,-2.0,30.0
334,2 RED - 10 BLUE,10 BLUE - 2 RED,-10.0,22.0,-12.0
335,2 RED - 10 BLUE,2 RED - 10 BLUE,-2.0,-2.0,-14.0
336,2 RED - 10 RED,10 RED - 2 RED,-18.0,-2.0,30.0
337,2 RED - 10 RED,2 RED - 10 RED,-16.0,6.0,20.0
338,2 RED - 11 BLUE,11 BLUE - 2 RED,-14.0,6.0,8.0
339,2 RED - 11 BLUE,2 RED - 11 BLUE,-8.0,-2.0,6.0
340,2 RED - 11 RED,11 RED - 2 RED,-20.0,-10.0,40.0
341,2 RED - 11 RED,2 RED - 11 RED,-14.0,14.0,10.0
342,2 RED - 12 BLUE,12 BLUE - 2 RED,-20.0,-10.0,40.0
343,2 RED - 12 BLUE,2 RED - 12 BLUE,-20.0,-10.0,40.0
344,2 RED - 12 RED,12 RED - 2 RED,-16.0,6.0,20.0
345,2 RED - 12 RED,2 RED - 12 RED,-14.0,14.0,10.0
346,2 RED - 13 BLUE,13 BLUE - 2 RED,-18.0,-10.0,28.0
347,2 RED - 13 BLUE,2 RED - 13 BLUE,-18.0,-2.0,30.0
348,2 RED - 2 BLUE,2 BLUE - 2 RED,-10.0,14.0,-14.0
349,2 RED - 2 BLUE,2 RED - 2 BLUE,-6.0,6.0,-14.0
350,2 RED - 3 BLUE,2 RED - 3 BLUE,-4.0,-10.0,-4.0
351,2 RED - 3 BLUE,3 BLUE - 2 RED,-6.0,6.0,-4.0
352,2 RED - 4 BLUE,2 RED - 4 BLUE,-18.0,-10.0,-2.0
353,2 RED - 4 BLUE,4 BLUE - 2 RED,-12.0,22.0,0.0
354,2 RED - 4 RED,2 RED - 4 RED,-12.0,22.0,0.0
355,2 RED - 4 RED,4 RED - 2 RED,-14.0,14.0,10.0
356,2 RED - 5 BLUE,2 RED - 5 BLUE,-16.0,-10.0,6.0
357,2 RED - 5 BLUE,5 BLUE - 2 RED,-8.0,-2.0,6.0
358,2 RED - 5 RED,2 RED - 5 RED,-14.0,14.0,10.0
359,2 RED - 5 RED,5 RED - 2 RED,-16.0,6.0,20.0
360,2 RED - 6 BLUE,2 RED - 6 BLUE,0.0,-2.0,-6.0
361,2 RED - 6 BLUE,6 BLUE - 2 RED,-12.0,14.0,-2.0
362,2 RED - 7 BLUE,2 RED - 7 BLUE,-12.0,-10.0,18.0
363,2 RED - 7 BLUE,7 BLUE - 2 RED,-16.0,-2.0,8.0
364,2 RED - 7 RED,2 RED - 7 RED,-10.0,-2.0,18.0
365,2 RED - 7 RED,7 RED - 2 RED,-16.0,6.0,20.0
366,2 RED - 8 BLUE,2 RED - 8 BLUE,-18.0,-10.0,8.0
367,2 RED - 8 BLUE,8 BLUE - 2 RED,-16.0,-2.0,8.0
368,2 RED - 9 BLUE,2 RED - 9 BLUE,-4.0,-10.0,6.0
369,2 RED - 9 BLUE,9 BLUE - 2 RED,-16.0,6.0,10.0
370,2 RED - Jester,2 RED - Jester,-10.0,14.0,-14.0
371,2 RED - Jester,Jester - 2 RED,-10.0,14.0,-14.0
372,3 BLUE - 1 BLUE,1 BLUE - 3 BLUE,6.0,-10.0,-8.0
373,3 BLUE - 1 BLUE,3 BLUE - 1 BLUE,-2.0,-10.0,4.0
374,3 BLUE - 1 GREEN,1 GREEN - 3 BLUE,14.0,-2.0,-18.0
375,3 BLUE - 1 GREEN,3 BLUE - 1 GREEN,6.0,-2.0,-16.0
376,3 BLUE - 11 BLUE,11 BLUE - 3 BLUE,-8.0,6.0,8.0
377,3 BLUE - 11 BLUE,3 BLUE - 11 BLUE,-8.0,6.0,8.0
378,3 BLUE - 12 BLUE,12 BLUE - 3 BLUE,-6.0,-10.0,-8.0
379,3 BLUE - 12 BLUE,3 BLUE - 12 BLUE,2.0,-10.0,-20.0
380,3 BLUE - 13 BLUE,13 BLUE - 3 BLUE,-6.0,-2.0,-6.0
381,3 BLUE - 13 BLUE,3 BLUE - 13 BLUE,2.0,-10.0,-20.0
