,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
520,4 RED - 2 RED,2 RED - 4 RED,-12.0,22.0,0.0
507,4 RED - 1 RED,4 RED - 1 RED,-16.0,-2.0,18.0
506,4 RED - 1 RED,1 RED - 4 RED,-16.0,-2.0,18.0
514,4 RED - 13 BLUE,13 BLUE - 4 RED,-20.0,-10.0,40.0
515,4 RED - 13 BLUE,4 RED - 13 BLUE,-20.0,-10.0,40.0
512,4 RED - 12 BLUE,12 BLUE - 4 RED,-16.0,6.0,20.0
513,4 RED - 12 BLUE,4 RED - 12 BLUE,-18.0,-2.0,20.0
510,4 RED - 11 BLUE,11 BLUE - 4 RED,-16.0,-2.0,8.0
511,4 RED - 11 BLUE,4 RED - 11 BLUE,-16.0,-10.0,6.0
508,4 RED - 10 BLUE,10 BLUE - 4 RED,-16.0,6.0,20.0
509,4 RED - 10 BLUE,4 RED - 10 BLUE,-16.0,-10.0,16.0
539,4 RED - 9 BLUE,9 BLUE - 4 RED,-8.0,-2.0,6.0
538,4 RED - 9 BLUE,4 RED - 9 BLUE,-4.0,-10.0,6.0
534,4 RED - 8 BLUE,4 RED - 8 BLUE,-20.0,-10.0,0.0
535,4 RED - 8 BLUE,8 BLUE - 4 RED,-14.0,14.0,0.0
530,4 RED - 7 BLUE,4 RED - 7 BLUE,-12.0,-10.0,8.0
531,4 RED - 7 BLUE,7 BLUE - 4 RED,-14.0,14.0,10.0
528,4 RED - 6 BLUE,4 RED - 6 BLUE,-18.0,-2.0,10.0
529,4 RED - 6 BLUE,6 BLUE - 4 RED,-14.0,6.0,8.0
526,4 RED - 5 BLUE,4 RED - 5 BLUE,-2.0,-10.0,-16.0
527,4 RED - 5 BLUE,5 BLUE - 4 RED,-10.0,22.0,-12.0
524,4 RED - 4 BLUE,4 BLUE - 4 RED,-4.0,6.0,-16.0
525,4 RED - 4 BLUE,4 RED - 4 BLUE,-4.0,-10.0,-20.0
522,4 RED - 3 BLUE,3 BLUE - 4 RED,-12.0,-2.0,-6.0
523,4 RED - 3 BLUE,4 RED - 3 BLUE,-2.0,-10.0,-6.0
519,4 RED - 2 BLUE,4 RED - 2 BLUE,0.0,-10.0,-18.0
518,4 RED - 2 BLUE,2 BLUE - 4 RED,-4.0,-2.0,-18.0
504,4 RED - 1 BLUE,1 BLUE - 4 RED,-6.0,-2.0,-6.0
505,4 RED - 1 BLUE,4 RED - 1 BLUE,4.0,-10.0,-6.0
454,3 RED - 13 RED,13 RED - 3 RED,-18.0,-2.0,30.0
455,3 RED - 13 RED,3 RED - 13 RED,-18.0,-2.0,30.0
450,3 RED - 12 RED,12 RED - 3 RED,-16.0,6.0,20.0
451,3 RED - 12 RED,3 RED - 12 RED,-16.0,-2.0,18.0
483,3 RED - 9 RED,9 RED - 3 RED,-18.0,-2.0,30.0
482,3 RED - 9 RED,3 RED - 9 RED,-16.0,6.0,20.0
479,3 RED - 8 RED,8 RED - 3 RED,-20.0,-10.0,40.0
478,3 RED - 8 RED,3 RED - 8 RED,-20.0,-10.0,40.0
475,3 RED - 7 RED,7 RED - 3 RED,-16.0,6.0,20.0
474,3 RED - 7 RED,3 RED - 7 RED,-16.0,6.0,20.0
471,3 RED - 6 RED,6 RED - 3 RED,-16.0,6.0,20.0
470,3 RED - 6 RED,3 RED - 6 RED,-16.0,6.0,20.0
464,3 RED - 4 RED,3 RED - 4 RED,-16.0,6.0,20.0
465,3 RED - 4 RED,4 RED - 3 RED,-16.0,6.0,20.0
458,3 RED - 2 RED,2 RED - 3 RED,-14.0,14.0,10.0
459,3 RED - 2 RED,3 RED - 2 RED,-14.0,14.0,10.0
442,3 RED - 1 RED,1 RED - 3 RED,-18.0,-2.0,30.0
443,3 RED - 1 RED,3 RED - 1 RED,-18.0,-2.0,30.0
453,3 RED - 13 BLUE,3 RED - 13 BLUE,-12.0,-10.0,28.0
452,3 RED - 13 BLUE,13 BLUE - 3 RED,-18.0,-2.0,20.0
448,3 RED - 12 BLUE,12 BLUE - 3 RED,-18.0,-2.0,30.0
449,3 RED - 12 BLUE,3 RED - 12 BLUE,-12.0,-10.0,28.0
446,3 RED - 11 BLUE,11 BLUE - 3 RED,-16.0,6.0,20.0
447,3 RED - 11 BLUE,3 RED - 11 BLUE,-18.0,-2.0,20.0
444,3 RED - 10 BLUE,10 BLUE - 3 RED,-16.0,6.0,10.0
445,3 RED - 10 BLUE,3 RED - 10 BLUE,-12.0,-10.0,18.0
480,3 RED - 9 BLUE,3 RED - 9 BLUE,-16.0,-10.0,-4.0
481,3 RED - 9 BLUE,9 BLUE - 3 RED,-12.0,22.0,0.0
476,3 RED - 8 BLUE,3 RED - 8 BLUE,-18.0,-10.0,8.0
477,3 RED - 8 BLUE,8 BLUE - 3 RED,-14.0,14.0,10.0
473,3 RED - 7 BLUE,7 BLUE - 3 RED,-12.0,14.0,-2.0
472,3 RED - 7 BLUE,3 RED - 7 BLUE,-10.0,-10.0,-4.0
469,3 RED - 6 BLUE,6 BLUE - 3 RED,-12.0,6.0,-4.0
468,3 RED - 6 BLUE,3 RED - 6 BLUE,-6.0,6.0,-4.0
467,3 RED - 5 BLUE,5 BLUE - 3 RED,0.0,6.0,-4.0
466,3 RED - 5 BLUE,3 RED - 5 BLUE,-10.0,-10.0,-4.0
463,3 RED - 4 BLUE,4 BLUE - 3 RED,-10.0,30.0,-10.0
462,3 RED - 4 BLUE,3 RED - 4 BLUE,-20.0,-10.0,-10.0
461,3 RED - 3 BLUE,3 RED - 3 BLUE,-2.0,-10.0,-6.0
460,3 RED - 3 BLUE,3 BLUE - 3 RED,-14.0,-2.0,-14.0
457,3 RED - 2 BLUE,3 RED - 2 BLUE,-4.0,-10.0,-4.0
456,3 RED - 2 BLUE,2 BLUE - 3 RED,0.0,6.0,-14.0
440,3 RED - 1 BLUE,1 BLUE - 3 RED,-4.0,14.0,-14.0
441,3 RED - 1 BLUE,3 RED - 1 BLUE,-2.0,-10.0,-16.0
411,2 RED - 9 RED,9 RED - 2 RED,-18.0,-2.0,30.0
410,2 RED - 9 RED,2 RED - 9 RED,-18.0,-2.0,30.0
405,2 RED - 7 RED,7 RED - 2 RED,-12.0,22.0,0.0
404,2 RED - 7 RED,2 RED - 7 RED,-6.0,14.0,-2.0
391,2 RED - 13 BLUE,2 RED - 13 BLUE,4.0,-10.0,4.0
390,2 RED - 13 BLUE,13 BLUE - 2 RED,-14.0,6.0,8.0
389,2 RED - 12 BLUE,2 RED - 12 BLUE,-12.0,-10.0,28.0
388,2 RED - 12 BLUE,12 BLUE - 2 RED,-18.0,-2.0,30.0
387,2 RED - 11 BLUE,2 RED - 11 BLUE,-2.0,-10.0,4.0
386,2 RED - 11 BLUE,11 BLUE - 2 RED,-8.0,6.0,8.0
385,2 RED - 10 BLUE,2 RED - 10 BLUE,-2.0,-10.0,-16.0
384,2 RED - 10 BLUE,10 BLUE - 2 RED,2.0,14.0,-14.0
409,2 RED - 9 BLUE,9 BLUE - 2 RED,-8.0,6.0,8.0
408,2 RED - 9 BLUE,2 RED - 9 BLUE,-8.0,-10.0,4.0
407,2 RED - 8 BLUE,8 BLUE - 2 RED,-12.0,14.0,-2.0
406,2 RED - 8 BLUE,2 RED - 8 BLUE,-2.0,-2.0,-4.0
403,2 RED - 7 BLUE,7 BLUE - 2 RED,-6.0,14.0,-2.0
402,2 RED - 7 BLUE,2 RED - 7 BLUE,-14.0,-2.0,-4.0
401,2 RED - 6 BLUE,6 BLUE - 2 RED,-12.0,6.0,-4.0
400,2 RED - 6 BLUE,2 RED - 6 BLUE,4.0,-10.0,-6.0
399,2 RED - 5 BLUE,5 BLUE - 2 RED,-4.0,14.0,-14.0
398,2 RED - 5 BLUE,2 RED - 5 BLUE,6.0,-2.0,-16.0
397,2 RED - 4 BLUE,4 BLUE - 2 RED,-10.0,22.0,-12.0
396,2 RED - 4 BLUE,2 RED - 4 BLUE,-8.0,6.0,-12.0
394,2 RED - 3 BLUE,2 RED - 3 BLUE,0.0,-10.0,-18.0
395,2 RED - 3 BLUE,3 BLUE - 2 RED,2.0,6.0,-16.0
392,2 RED - 2 BLUE,2 BLUE - 2 RED,-4.0,22.0,-12.0
393,2 RED - 2 BLUE,2 RED - 2 BLUE,-16.0,-2.0,-12.0
382,2 RED - 1 BLUE,1 BLUE - 2 RED,-12.0,14.0,-2.0
383,2 RED - 1 BLUE,2 RED - 1 BLUE,-10.0,-10.0,-4.0
29,1 RED - 13 RED,13 RED - 1 RED,-18.0,-10.0,28.0
28,1 RED - 13 RED,1 RED - 13 RED,-16.0,-2.0,18.0
52,1 RED - 9 RED,1 RED - 9 RED,-14.0,6.0,8.0
53,1 RED - 9 RED,9 RED - 1 RED,-14.0,14.0,10.0
48,1 RED - 8 RED,1 RED - 8 RED,-18.0,-2.0,30.0
49,1 RED - 8 RED,8 RED - 1 RED,-20.0,-10.0,40.0
44,1 RED - 7 RED,1 RED - 7 RED,-16.0,6.0,20.0
45,1 RED - 7 RED,7 RED - 1 RED,-20.0,-10.0,40.0
32,1 RED - 2 RED,1 RED - 2 RED,-14.0,14.0,10.0
33,1 RED - 2 RED,2 RED - 1 RED,-14.0,14.0,10.0
27,1 RED - 13 BLUE,13 BLUE - 1 RED,-16.0,-2.0,18.0
26,1 RED - 13 BLUE,1 RED - 13 BLUE,-10.0,-2.0,18.0
24,1 RED - 12 BLUE,1 RED - 12 BLUE,-12.0,-10.0,18.0
25,1 RED - 12 BLUE,12 BLUE - 1 RED,-16.0,-2.0,18.0
22,1 RED - 11 BLUE,1 RED - 11 BLUE,-10.0,-2.0,8.0
23,1 RED - 11 BLUE,11 BLUE - 1 RED,-10.0,-2.0,8.0
21,1 RED - 10 BLUE,10 BLUE - 1 RED,-16.0,6.0,20.0
20,1 RED - 10 BLUE,1 RED - 10 BLUE,-20.0,-10.0,20.0
51,1 RED - 9 BLUE,9 BLUE - 1 RED,-12.0,22.0,0.0
50,1 RED - 9 BLUE,1 RED - 9 BLUE,4.0,-10.0,-6.0
47,1 RED - 8 BLUE,8 BLUE - 1 RED,-14.0,14.0,10.0
46,1 RED - 8 BLUE,1 RED - 8 BLUE,-20.0,-10.0,10.0
43,1 RED - 7 BLUE,7 BLUE - 1 RED,-6.0,14.0,-2.0
42,1 RED - 7 BLUE,1 RED - 7 BLUE,-2.0,-10.0,-6.0
40,1 RED - 6 BLUE,1 RED - 6 BLUE,0.0,-10.0,-18.0
41,1 RED - 6 BLUE,6 BLUE - 1 RED,-4.0,14.0,-14.0
38,1 RED - 5 BLUE,1 RED - 5 BLUE,-2.0,-2.0,-4.0
39,1 RED - 5 BLUE,5 BLUE - 1 RED,-12.0,6.0,-4.0
36,1 RED - 4 BLUE,1 RED - 4 BLUE,-16.0,-2.0,-2.0
37,1 RED - 4 BLUE,4 BLUE - 1 RED,-12.0,14.0,-2.0
35,1 RED - 3 BLUE,3 BLUE - 1 RED,-4.0,6.0,-16.0
34,1 RED - 3 BLUE,1 RED - 3 BLUE,-2.0,-10.0,-16.0
30,1 RED - 2 BLUE,1 RED - 2 BLUE,-8.0,-2.0,-14.0
