tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
9 RED - 5 BLUE,9 RED - 5 BLUE,-13.53,2.68,-10.44
9 RED - 4 BLUE,9 RED - 4 BLUE,-13.14,3.36,-11.64
9 RED - 3 BLUE,9 RED - 3 BLUE,-12.48,4.72,-12.09
9 RED - 2 BLUE,9 RED - 2 BLUE,-12.28,7.44,-12.39
9 RED - 1 BLUE,9 RED - 1 BLUE,-11.5,7.16,-12.74
9 RED - Jester,9 RED - Jester,-9.85,19.36,-12.66
8 RED - 7 RED,8 RED - 7 RED,-16.67,1.16,24.43
8 RED - 6 RED,8 RED - 6 RED,-16.42,0.96,23.01
8 RED - 5 RED,8 RED - 5 RED,-16.72,-0.32,23.64
8 RED - 4 RED,8 RED - 4 RED,-16.71,-0.04,21.93
8 RED - 3 RED,8 RED - 3 RED,-16.89,-1.28,21.93
8 RED - 2 RED,8 RED - 2 RED,-16.93,-1.84,21.14
8 RED - 1 RED,8 RED - 1 RED,-17.04,-1.68,20.7
8 RED - 13 BLUE,8 RED - 13 BLUE,-16.54,-6.52,-2.86
8 RED - 12 BLUE,8 RED - 12 BLUE,-15.78,-5.72,-4.35
8 RED - 11 BLUE,8 RED - 11 BLUE,-15.3,-4.44,-6.07
8 RED - 10 BLUE,8 RED - 10 BLUE,-14.96,-3.48,-7.4
8 RED - 9 BLUE,8 RED - 9 BLUE,-15.07,-2.8,-7.14
8 RED - 8 BLUE,8 RED - 8 BLUE,-14.22,-0.56,-9.1
8 RED - 7 BLUE,8 RED - 7 BLUE,-13.49,0.24,-10.67
8 RED - 6 BLUE,8 RED - 6 BLUE,-13.67,2.08,-10.06
8 RED - 5 BLUE,8 RED - 5 BLUE,-13.08,2.12,-11.42
8 RED - 4 BLUE,8 RED - 4 BLUE,-12.65,4.12,-12.13
8 RED - 3 BLUE,8 RED - 3 BLUE,-12.75,5.28,-11.33
8 RED - 2 BLUE,8 RED - 2 BLUE,-12.06,5.04,-12.96
8 RED - 1 BLUE,8 RED - 1 BLUE,-11.53,7.88,-12.74
8 RED - Jester,8 RED - Jester,-9.58,18.32,-12.92
7 RED - 6 RED,7 RED - 6 RED,-16.09,1.28,22.96
7 RED - 5 RED,7 RED - 5 RED,-16.55,0.48,23.97
7 RED - 4 RED,7 RED - 4 RED,-16.43,0.52,22.62
7 RED - 3 RED,7 RED - 3 RED,-16.27,0.24,20.14
7 RED - 2 RED,7 RED - 2 RED,-16.69,0.56,20.56
7 RED - 1 RED,7 RED - 1 RED,-16.44,-0.04,18.39
7 RED - 13 BLUE,7 RED - 13 BLUE,-15.96,-6.16,-2.45
7 RED - 12 BLUE,7 RED - 12 BLUE,-16.46,-6.16,-3.4
7 RED - 11 BLUE,7 RED - 11 BLUE,-15.52,-3.96,-5.0
7 RED - 10 BLUE,7 RED - 10 BLUE,-15.34,-3.48,-6.13
7 RED - 9 BLUE,7 RED - 9 BLUE,-14.58,-2.64,-6.92
7 RED - 8 BLUE,7 RED - 8 BLUE,-14.19,-1.08,-9.04
7 RED - 7 BLUE,7 RED - 7 BLUE,-13.63,-0.52,-10.74
